station_id,date,time,temperature,humidity,pressure,wind_speed,wind_direction,precipitation,visibility,conditions
1,2024-08-26,14:00,28.5,65,1013.2,12,NE,0.0,10,Clear
2,2024-08-26,14:00,32.1,58,1012.8,8,E,0.0,10,Partly Cloudy
3,2024-08-26,14:00,24.3,72,1014.5,15,SE,2.1,8,Light Rain
4,2024-08-26,14:00,29.7,61,1013.1,10,NW,0.0,10,Clear
5,2024-08-26,14:00,26.8,68,1012.9,14,SW,0.5,9,Partly Cloudy
6,2024-08-26,14:00,31.2,55,1013.4,9,N,0.0,10,Clear
7,2024-08-26,14:00,35.6,42,1011.8,18,NE,0.0,10,Clear
8,2024-08-26,14:00,38.2,35,1010.5,20,E,0.0,10,Clear
9,2024-08-26,14:00,25.9,75,1015.1,11,S,1.2,7,Light Rain
10,2024-08-26,14:00,22.1,68,1016.2,13,SW,0.0,10,Partly Cloudy
11,2024-08-26,14:00,19.8,71,1017.1,16,W,3.5,6,Moderate Rain
12,2024-08-26,14:00,27.4,62,1013.8,12,NW,0.0,10,Clear
13,2024-08-26,14:00,23.6,69,1014.6,14,SW,0.8,8,Light Rain
14,2024-08-26,14:00,21.9,74,1015.3,17,S,1.9,7,Light Rain
15,2024-08-26,14:00,20.5,76,1016.1,19,SW,2.3,6,Moderate Rain
16,2024-08-26,14:00,18.7,78,1017.2,15,W,4.1,5,Heavy Rain
17,2024-08-26,14:00,16.2,82,1018.5,22,SW,5.2,4,Heavy Rain
18,2024-08-26,14:00,17.8,80,1017.9,20,W,3.8,5,Moderate Rain
19,2024-08-26,14:00,15.4,85,1019.1,18,SW,6.1,3,Heavy Rain
20,2024-08-26,14:00,14.1,87,1019.8,16,W,7.3,2,Heavy Rain
21,2024-08-26,14:00,16.8,81,1018.2,21,SW,4.5,4,Heavy Rain
22,2024-08-26,14:00,13.9,89,1020.1,14,W,8.2,2,Heavy Rain
23,2024-08-26,14:00,18.3,77,1017.5,17,SW,2.7,6,Moderate Rain
24,2024-08-26,14:00,19.6,73,1016.8,13,W,1.4,7,Light Rain
25,2024-08-26,14:00,21.2,70,1015.9,11,SW,0.9,8,Light Rain
26,2024-08-26,14:00,22.8,67,1015.2,9,W,0.3,9,Partly Cloudy
27,2024-08-26,14:00,25.4,63,1014.1,7,NW,0.0,10,Clear
28,2024-08-26,14:00,27.1,59,1013.6,8,N,0.0,10,Clear
29,2024-08-26,14:00,29.3,55,1012.9,10,NE,0.0,10,Clear
30,2024-08-26,14:00,26.7,64,1014.3,12,E,0.0,10,Partly Cloudy
31,2024-08-26,14:00,24.5,68,1015.1,14,SE,1.1,8,Light Rain
32,2024-08-26,14:00,17.9,79,1018.2,19,SW,3.2,5,Moderate Rain
33,2024-08-26,14:00,20.6,74,1016.7,16,W,2.1,6,Light Rain
34,2024-08-26,14:00,23.2,69,1015.4,13,NW,0.7,8,Partly Cloudy
35,2024-08-26,14:00,15.8,83,1019.3,23,SW,5.8,3,Heavy Rain
36,2024-08-26,14:00,14.6,86,1020.1,21,W,6.9,2,Heavy Rain
37,2024-08-26,14:00,16.3,81,1018.7,18,SW,4.2,4,Heavy Rain
38,2024-08-26,14:00,15.1,84,1019.5,20,W,5.5,3,Heavy Rain
39,2024-08-26,14:00,13.7,88,1020.3,17,SW,7.1,2,Heavy Rain
40,2024-08-26,14:00,14.9,85,1019.8,19,W,6.3,3,Heavy Rain
41,2024-08-26,14:00,16.7,80,1018.4,22,SW,3.9,4,Moderate Rain
42,2024-08-26,14:00,18.2,76,1017.1,15,W,2.8,6,Moderate Rain
43,2024-08-26,14:00,17.5,78,1017.6,16,SW,3.4,5,Moderate Rain
44,2024-08-26,14:00,19.8,72,1016.3,12,W,1.6,7,Light Rain
45,2024-08-26,14:00,21.4,69,1015.8,10,NW,0.8,8,Light Rain
46,2024-08-26,14:00,23.1,66,1015.2,8,N,0.2,9,Partly Cloudy
47,2024-08-26,14:00,24.7,62,1014.7,6,NE,0.0,10,Clear
48,2024-08-26,14:00,25.9,60,1014.1,7,E,0.0,10,Clear
49,2024-08-26,14:00,22.6,67,1015.5,9,SE,0.4,9,Partly Cloudy
50,2024-08-26,14:00,20.3,73,1016.9,11,S,1.3,7,Light Rain 