SITE,RIVER,STATION NAME,TIME/DATE,SinceLast 09:00,24 Hr toLast 09:00,24 Hr toPrev 09:00,3 DAYTOTAL,MAX RECRAINFALL,DATE,SITE_URL,STATION_URL
501008501008 - No 1 MoochalabraComments:No additonal comments.,Moochalabra Creek,No 1 Moochalabra,06:00 27Aug2025,0.0,0.0,0.0,0.0,254.9,21DEC2008,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/501008/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/501008/501008.htm
501029501029 - Moochalabra DamComments:GS 809 318,Moochalabra Creek,Moochalabra Dam,07:00 27Aug2025,0.0,0.0,0.0,0.0,197.2,21DEC2008,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/501029/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/501029/501029.htm
502001502001 - Mt WinifredComments:GS 802 202,Leopold River,Mt Winifred,07:05 27Aug2025,0.0,0.0,0.0,0.0,165.8,24DEC1987,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502001/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502001/502001.htm
502002502002 - Mud SpringsComments:No additonal comments.,Leopold River,Mud Springs,06:00 27Aug2025,0.0,0.0,0.0,0.0,189.9,21FEB1991,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502002/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502002/502002.htm
502005502005 - Mt KraussComments:GS 802 203,Margaret River,Mt Krauss,07:05 27Aug2025,0.0,0.0,0.0,0.0,195.6,28JAN2018,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502005/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502005/502005.htm
502006502006 - Me No SavvyComments:GS 802 198.,Margaret River,Me No Savvy,07:05 27Aug2025,0.0,0.0,0.0,0.0,204.6,12MAR2024,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502006/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502006/502006.htm
502010502010 - The HillComments:No additonal comments.,Gumm Creek,The Hill,06:05 27Aug2025,0.0,0.0,0.0,0.0,191.8,20DEC2020,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502010/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502010/502010.htm
502014502014 - Frog HollowComments:No additonal comments.,Fletcher Creek Trib,Frog Hollow,06:05 27Aug2025,0.0,0.0,0.0,0.0,188.0,24MAR2024,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502014/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502014/502014.htm
502015502015 - Bedford DownsComments:GS 809 310,Ord River,Bedford Downs,06:05 27Aug2025,0.0,0.0,0.0,0.0,190.9,14MAR2011,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502015/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502015/502015.htm
502019502019 - LiammaComments:No additonal comments.,Dunham River,Liamma,06:10 27Aug2025,0.0,0.0,0.0,0.0,169.0,13MAR2011,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502019/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502019/502019.htm
502020502020 - Elgee CliffsComments:No additonal comments.,Ord River,Elgee Cliffs,06:00 27Aug2025,0.0,0.0,0.0,0.0,186.1,14MAR2011,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502020/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502020/502020.htm
502024502024 - Phillips RangeComments:GS 802 213,Hann River,Phillips Range,07:05 27Aug2025,0.0,0.0,0.0,0.0,233.4,02JAN2023,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502024/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502024/502024.htm
502027502027 - Durack RangeComments:No additonal comments.,Wilson River,Durack Range,06:00 27Aug2025,0.0,0.0,0.0,0.0,339.0,14MAR2011,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502027/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502027/502027.htm
502028502028 - Old Ord HomesteadComments:No additonal comments.,Ord River,Old Ord Homestead,07:05 27Aug2025,0.0,0.0,0.0,0.0,143.5,02MAR2001,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502028/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502028/502028.htm
502031502031 - Dunham GorgeComments:No additonal comments.,Dunham River,Dunham Gorge,07:05 27Aug2025,0.0,0.0,0.0,0.0,180.6,17MAR2005,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502031/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502031/502031.htm
502032502032 - Lake KununurraComments:No additonal comments.,Ord River,Lake Kununurra,06:00 27Aug2025,0.0,0.0,0.0,0.0,223.9,08FEB2014,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502032/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502032/502032.htm
502033502033 - HomesteadComments:GS 809 315,Negri River Mistake Creek,Homestead,03:20 25Aug2025,NO DATA,NO DATA,0.0,NO DATA,178.2,15MAR2021,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502033/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502033/502033.htm
502046502046 - Mt.Rob.Comments:No additonal comments.,King River,Mt.Rob.,06:05 27Aug2025,0.0,0.0,0.0,0.0,286.4,17MAR2005,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502046/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502046/502046.htm
502048502048 - Eight Mile MillComments:No additonal comments.,Sandy Creek,Eight Mile Mill,06:00 27Aug2025,0.0,0.0,0.0,0.0,452.3,25MAR2006,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502048/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502048/502048.htm
502049502049 - Microwave TowerComments:No additonal comments.,Knox Creek,Microwave Tower,07:00 27Aug2025,0.0,0.0,0.0,0.0,294.6,08FEB2014,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502049/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502049/502049.htm
502059502059 - Margaret GorgeComments:GS 802 156,Margaret River,Margaret Gorge,07:05 27Aug2025,0.0,0.0,0.0,0.0,168.8,05JAN2015,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502059/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502059/502059.htm
502062502062 - Abney HillComments:No additonal comments.,Weaber Plain Rd Drainage,Abney Hill,07:00 27Aug2025,0.0,0.0,0.0,0.0,262.7,08FEB2014,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502062/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502062/502062.htm
502139502139 - Dimond GorgeComments:GS 802 137.,Fitzroy River,Dimond Gorge,07:00 27Aug2025,0.0,0.0,0.0,0.0,351.8,02JAN2023,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502139/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/502139/502139.htm
503008503008 - Mt JosephComments:GS 803 001,Lennard River,Mt Joseph,07:00 27Aug2025,0.0,0.0,0.0,0.0,214.8,30JAN2021,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/503008/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/503008/503008.htm
503009503009 - Dales YardComments:GS 804 001,Isdell River,Dales Yard,23:05 13Aug2025,No 3 Day Data,,,NO DATA,197.9,23DEC1987,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/503009/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/503009/503009.htm
503011503011 - EllendaleComments:No additonal comments.,Mt Wynne Creek,Ellendale,07:00 27Aug2025,0.0,0.0,0.0,0.0,194.4,13DEC1998,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/503011/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/503011/503011.htm
503014503014 - NoonkanbahComments:GS 802 006,Fitzroy River,Noonkanbah,07:00 27Aug2025,0.0,0.0,0.0,0.0,178.8,03JAN2023,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/503014/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/503014/503014.htm
504001504001 - Coonanarrina PoolComments:No additonal comments.,Sherlock River,Coonanarrina Pool,07:00 27Aug2025,0.0,0.0,0.8,0.8,474.1,20JAN1987,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/504001/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/504001/504001.htm
504009504009 - North Pole U/SComments:No additonal comments.,Shaw River,North Pole U/S,06:00 27Aug2025,0.0,0.0,0.0,0.0,359.2,25MAR2019,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/504009/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/504009/504009.htm
504030504030 - SoansvilleComments:No additonal comments.,Turner River,Soansville,06:20 27Aug2025,0.0,0.0,0.8,0.8,247.2,25MAR2019,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/504030/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/504030/504030.htm
504031504031 - Abydos NorthComments:No additonal comments.,Turner River,Abydos North,07:05 27Aug2025,0.0,0.0,0.6,0.6,297.6,25MAR2019,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/504031/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/504031/504031.htm
504032504032 - PincunahComments:GS 709 010 BHP Rail,Turner River,Pincunah,07:05 27Aug2025,0.0,0.0,1.0,1.0,279.5,29MAR1988,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/504032/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/504032/504032.htm
504033504033 - CarrabaComments:No additonal comments.,East Turner River,Carraba,07:00 27Aug2025,0.0,0.0,0.0,0.0,283.8,29MAR1988,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/504033/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/504033/504033.htm
504037504037 - Marble BarComments:GS 710 204,Coongan River,Marble Bar,07:00 27Aug2025,0.0,0.0,0.0,0.0,205.3,09JAN2020,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/504037/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/504037/504037.htm
504039504039 - Ripon Hills RoadComments:GS 710 005 Oakover,Oakover River,Ripon Hills Road,07:05 27Aug2025,0.0,0.0,0.0,0.0,234.6,28MAR2004,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/504039/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/504039/504039.htm
504040504040 - NullagineComments:GS 710 004,Nullagine River,Nullagine,07:00 27Aug2025,0.0,0.0,0.0,0.0,167.2,15FEB2025,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/504040/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/504040/504040.htm
504041504041 - Tumbinna PoolComments:GS 710 008,Nullagine River,Tumbinna Pool,07:05 27Aug2025,0.0,0.0,0.0,0.0,165.1,28FEB2013,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/504041/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/504041/504041.htm
504076504076 - Lyre Creek WellComments:No additonal comments.,Harding River 2,Lyre Creek Well,06:05 27Aug2025,0.0,0.0,0.2,0.2,179.9,10JAN2006,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/504076/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/504076/504076.htm
504087504087 - Black HillsComments:No additonal comments.,Harding River 3,Black Hills,07:05 27Aug2025,0.0,0.0,0.2,0.2,236.6,17FEB2009,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/504087/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/504087/504087.htm
505004505004 - MunjinaComments:No additonal comments.,Marillana Creek,Munjina,01:05 26Jul2025,No 3 Day Data,,,NO DATA,364.7,09DEC1975,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505004/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505004/505004.htm
505009505009 - Upper PortlandComments:No additonal comments.,Portland River,Upper Portland,06:05 27Aug2025,0.0,0.0,0.0,0.0,208.0,01MAR1984,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505009/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505009/505009.htm
505010505010 - Gregorys GorgeComments:No additonal comments.,Fortescue River,Gregorys Gorge,06:05 27Aug2025,0.0,0.0,0.0,0.0,252.5,17FEB2009,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505010/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505010/505010.htm
505011505011 - Flat RocksComments:No additonal comments.,Marillana Creek,Flat Rocks,07:00 27Aug2025,0.0,0.0,0.2,0.2,265.9,09DEC1975,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505011/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505011/505011.htm
505031505031 - 56AComments:No additonal comments.,Robe River Catchment,56A,06:05 27Aug2025,0.0,0.0,0.0,0.0,293.1,17FEB2009,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505031/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505031/505031.htm
505032505032 - 13AComments:No additonal comments.,Millstream Borefield,13A,06:05 27Aug2025,0.0,0.0,0.0,0.0,282.0,17FEB2009,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505032/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505032/505032.htm
505033505033 - Cadgerina PoolComments:No additonal comments.,Munni Munni Creek,Cadgerina Pool,07:00 27Aug2025,0.0,0.0,0.2,0.2,192.2,01MAR2004,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505033/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505033/505033.htm
505038505038 - PoondaComments:No additonal comments.,Coondiner Creek,Poonda,07:00 27Aug2025,0.0,0.0,2.0,2.0,293.4,16DEC1999,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505038/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505038/505038.htm
505040505040 - TarinaComments:No additonal comments.,Weeli Wolli Creek,Tarina,07:00 27Aug2025,0.0,0.0,1.0,1.0,199.9,26JAN2003,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505040/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505040/505040.htm
505041505041 - WaterlooComments:No additonal comments.,Weeli Wolli Creek,Waterloo,07:00 27Aug2025,0.0,0.0,0.6,0.6,293.4,16DEC1999,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505041/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505041/505041.htm
505042505042 - RundallsComments:No additonal comments.,Cane River,Rundalls,06:00 27Aug2025,0.0,0.0,0.0,0.0,205.6,11APR1996,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505042/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505042/505042.htm
505044505044 - Paradise CreekComments:No additonal comments.,Cane River,Paradise Creek,06:00 27Aug2025,0.0,0.0,0.0,0.0,138.6,05FEB1993,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505044/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505044/505044.htm
505046505046 - Bilanoo PoolComments:No additonal comments.,Fortescue River,Bilanoo Pool,07:00 27Aug2025,0.0,0.0,0.0,0.0,300.9,17FEB2009,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505046/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505046/505046.htm
505059505059 - Air StripComments:No additonal comments.,Hardey River,Air Strip,07:00 27Aug2025,0.0,0.0,0.0,0.0,160.2,09FEB2020,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505059/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/505059/505059.htm
506002506002 - Meedo PoolComments:No additonal comments.,Wooramel,Meedo Pool,07:05 27Aug2025,0.0,1.4,1.4,2.8,102.4,09MAR2000,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/506002/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/506002/506002.htm
506003506003 - Fishy PoolComments:No additonal comments.,Gascoyne River,Fishy Pool,07:00 27Aug2025,0.0,0.6,0.2,0.8,158.8,13DEC1995,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/506003/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/506003/506003.htm
506004506004 - MinilyaComments:GS 705 001,Minilya River,Minilya,07:00 27Aug2025,0.0,0.2,1.2,1.4,212.9,05APR2008,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/506004/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/506004/506004.htm
506014506014 - JimbaComments:GS 704 194,Gascoyne River,Jimba,04:05 29Jul2025,No 3 Day Data,,,NO DATA,112.0,18DEC2010,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/506014/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/506014/506014.htm
506015506015 - HomesteadComments:No additonal comments.,Lyons River,Homestead,07:05 27Aug2025,0.0,0.0,0.4,0.4,156.7,18DEC2010,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/506015/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/506015/506015.htm
506016506016 - Yinnethara CrossingComments:No additonal comments.,Gascoyne River,Yinnethara Crossing,11:45 26Aug2025,0.0,0.2,1.4,1.6,74.0,25FEB2025,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/506016/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/506016/506016.htm
507002507002 - Capricorn RangeComments:GS 706 209,Ashburton River,Capricorn Range,07:00 27Aug2025,0.0,0.0,0.4,0.4,182.2,02FEB1997,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/507002/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/507002/507002.htm
507005507005 - NewmanComments:No additonal comments.,Fortescue River,Newman,07:00 27Aug2025,0.0,0.0,0.8,0.8,221.7,16DEC1999,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/507005/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/507005/507005.htm
507012507012 - WonmunnaComments:No additonal comments.,Weeli Wolli Creek,Wonmunna,06:00 27Aug2025,0.0,0.0,0.0,0.0,198.4,16DEC1999,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/507012/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/507012/507012.htm
508001508001 - Experimental CatchmtComments:No additonal comments.,Berkshire Valley,Experimental Catchmt,06:05 27Aug2025,2.4,17.6,14.0,34.0,81.6,30MAR2022,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/508001/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/508001/508001.htm
508011508011 - WickaComments:No additonal comments.,Chapman River,Wicka,07:00 27Aug2025,2.4,14.8,23.8,41.0,95.9,10MAR2000,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/508011/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/508011/508011.htm
508017508017 - Pindarring RocksComments:GS 701 008,Greenough River,Pindarring Rocks,06:05 27Aug2025,0.6,4.2,11.8,16.6,83.6,10MAR2000,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/508017/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/508017/508017.htm
508020508020 - Karlanew PeakComments:GS 701 002,Greenough River,Karlanew Peak,06:00 27Aug2025,5.8,12.0,17.4,35.2,78.7,27MAY1999,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/508020/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/508020/508020.htm
508021508021 - Emu SpringsComments:8.5km u/s of  704196,Murchison River,Emu Springs,06:00 27Aug2025,0.4,5.4,14.6,20.4,86.2,09JUN2024,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/508021/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/508021/508021.htm
508032508032 - Mountain BridgeComments:GS 701 009,Irwin River,Mountain Bridge,06:00 27Aug2025,1.2,12.6,10.4,24.2,94.8,27MAY1999,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/508032/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/508032/508032.htm
508034508034 - NolbaComments:No additonal comments.,Chapman Catchment,Nolba,07:00 27Aug2025,1.4,10.4,25.4,37.2,100.5,27MAY1999,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/508034/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/508034/508034.htm
508036508036 - YerinaComments:GS 701 010,Hutt River,Yerina,06:00 27Aug2025,6.6,8.6,17.2,32.4,73.5,27MAY1999,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/508036/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/508036/508036.htm
508037508037 - CasleysComments:No additonal comments.,Hutt River,Casleys,06:00 27Aug2025,2.8,11.4,25.6,39.8,121.8,27MAY1999,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/508037/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/508037/508037.htm
508038508038 - KapariComments:No additonal comments.,Hutt River,Kapari,06:00 27Aug2025,0.2,12.0,19.2,31.4,121.0,10MAR2000,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/508038/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/508038/508038.htm
508039508039 - MitthutharraComments:GS 701 012,Greenough River,Mitthutharra,06:00 27Aug2025,1.2,11.2,19.0,31.4,95.4,29APR2008,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/508039/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/508039/508039.htm
509004509004 - Neds CornerComments:GS 601 001,Young River,Neds Corner,06:05 27Aug2025,4.6,0.0,1.0,5.6,134.0,05JAN2007,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509004/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509004/509004.htm
509011509011 - Black CatComments:GS 602 199,Goodga River,Black Cat,06:00 27Aug2025,4.0,20.0,8.8,32.8,106.5,22JAN1982,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509011/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509011/509011.htm
509022509022 - WoonanupComments:No additonal comments.,Yate Flat Creek,Woonanup,06:00 27Aug2025,4.6,23.0,11.4,39.0,101.5,02APR2005,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509022/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509022/509022.htm
509042509042 - Manjimup Resrch StnComments:No additonal comments.,Smiths Brook Trib,Manjimup Resrch Stn,06:05 27Aug2025,1.2,25.6,21.8,48.6,92.9,19JAN2016,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509042/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509042/509042.htm
509053509053 - Dickson Tower RdComments:No additonal comments.,Barlee Brook,Dickson Tower Rd,06:05 27Aug2025,4.0,27.4,20.4,51.8,107.6,24OCT1973,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509053/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509053/509053.htm
509062509062 - George RdComments:No additonal comments.,Margaret River,George Rd,06:00 27Aug2025,1.2,9.4,15.0,25.6,78.6,07JUN2019,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509062/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509062/509062.htm
509063509063 - Chapman HillComments:GS 610 003,Vasse River,Chapman Hill,06:05 27Aug2025,0.8,5.4,13.4,19.6,105.1,21MAY1991,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509063/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509063/509063.htm
